date,rawContent,processed_content,tokenized_content
2023-03-06 11:36:56+00:00,"tinha que ser a 8, porque eu sinto a necessidade de assistir ela de novo porque até hoje não acredito naquele final, acho que assistindo novamente eu percebo que na época aquilo foi um surto kkkkkk",tinha que ser 8 porqu eu sinto necessidad de assistir ela de novo porqu até hoje não acredito naquel final acho que assistindo novament eu percebo que na época aquilo foi um surto kkkkkk,"['tinha', 'que', 'ser', '8', 'porqu', 'eu', 'sinto', 'necessidad', 'de', 'assistir', 'ela', 'de', 'novo', 'porqu', 'até', 'hoje', 'não', 'acredito', 'naquel', 'final', 'acho', 'que', 'assistindo', 'novament', 'eu', 'percebo', 'que', 'na', 'época', 'aquilo', 'foi', 'um', 'surto', 'kkkkkk']"
2023-03-06 11:35:25+00:00,les saisons 2/3/4 vrmt les meilleures,le saison 234 vrmt le meilleur,"['le', 'saison', '234', 'vrmt', 'le', 'meilleur']"
2023-03-06 11:34:54+00:00,season 6,season 6,"['season', '6']"
2023-03-06 11:08:47+00:00,Season 6 for me #GameOfThrones,season 6 gameofthron,"['season', '6', 'gameofthron']"
2023-03-06 11:04:07+00:00,"Without any doubt, Season 4, even though season 6 is my personal favorite",without doubt season 4 even though season 6 person favorit,"['without', 'doubt', 'season', '4', 'even', 'though', 'season', '6', 'person', 'favorit']"
2023-03-06 11:00:22+00:00,geen 1,geen 1,"['geen', '1']"
2023-03-06 10:44:40+00:00,1 - 4. goes downhill from s5,1 4 goe downhil s5,"['1', '4', 'goe', 'downhil', 's5']"
2023-03-06 10:43:49+00:00,Letterlijk alles behalve 7&amp;8 fijne dag,letterlijk all behalv 7amp8 fijn dag,"['letterlijk', 'all', 'behalv', '7amp8', 'fijn', 'dag']"
2023-03-06 10:39:46+00:00,SEASON 6 😍😍😍,season 6,"['season', '6']"
2023-03-06 10:26:55+00:00,Yang ada opah Tywin pokoknya https://t.co/12lRqXW7vv,yang ada opah tywin pokoknya httpstco12lrqxw7vv,"['yang', 'ada', 'opah', 'tywin', 'pokoknya', 'httpstco12lrqxw7vv']"
2023-03-06 10:21:21+00:00,"4 e 6, nao ta aberto a discussão",4 e 6 nao ta aberto discussão,"['4', 'e', '6', 'nao', 'ta', 'aberto', 'discussão']"
2023-03-06 10:06:10+00:00,La saison 4 . La série bascule dans le domaine de la masterclass,la saison 4 la série bascul dan le domain de la masterclass,"['la', 'saison', '4', 'la', 'série', 'bascul', 'dan', 'le', 'domain', 'de', 'la', 'masterclass']"
2023-03-06 09:57:54+00:00,Season 3 supremacy!! Could’ve been season 4 but I really can’t stand the Tysha nonsense which ultimately leads to Tyrion being super underdeveloped. Also anyone who says season 7 was actually good really can’t complain about season 8.,season 3 supremaci couldv season 4 realli cant stand tysha nonsens ultim lead tyrion super underdevelop also anyon say season 7 actual good realli cant complain season 8,"['season', '3', 'supremaci', 'couldv', 'season', '4', 'realli', 'cant', 'stand', 'tysha', 'nonsens', 'ultim', 'lead', 'tyrion', 'super', 'underdevelop', 'also', 'anyon', 'say', 'season', '7', 'actual', 'good', 'realli', 'cant', 'complain', 'season', '8']"
2023-03-06 09:46:40+00:00,6 4 3 1 5 2 y la cátedra se sentó.,6 4 3 1 5 2 la cátedra se sentó,"['6', '4', '3', '1', '5', '2', 'la', 'cátedra', 'se', 'sentó']"
2023-03-06 09:42:05+00:00,4 &amp; 5 🥹🥹🥹🥹,4 amp 5,"['4', 'amp', '5']"
2023-03-06 09:40:22+00:00,1-4,14,['14']
2023-03-06 09:26:13+00:00,Def season 4,def season 4,"['def', 'season', '4']"
2023-03-06 09:25:26+00:00,J’ai tout revu il y a quelques mois . Sauf la 8.,jai tout revu il quelqu moi sauf la 8,"['jai', 'tout', 'revu', 'il', 'quelqu', 'moi', 'sauf', 'la', '8']"
2023-03-06 09:10:52+00:00,Todas (menos la última) son 🔥 pero con la 3 y la 4 flipas,toda meno la última son pero con la 3 la 4 flipa,"['toda', 'meno', 'la', 'última', 'son', 'pero', 'con', 'la', '3', 'la', '4', 'flipa']"
2023-03-06 09:05:22+00:00,3/4/5/6,3456,['3456']
2023-03-06 09:00:34+00:00,Obviously s1-4,obvious s14,"['obvious', 's14']"
2023-03-06 08:55:50+00:00,Imagínense que alguien diga que la 8.💀,imagínens que alguien diga que la 8,"['imagínens', 'que', 'alguien', 'diga', 'que', 'la', '8']"
2023-03-06 08:55:12+00:00,Last season!,last season,"['last', 'season']"
2023-03-06 08:41:53+00:00,Todas hasta la 6 y asumir que deja el final abierto,toda hasta la 6 asumir que deja el final abierto,"['toda', 'hasta', 'la', '6', 'asumir', 'que', 'deja', 'el', 'final', 'abierto']"
2023-03-06 08:25:07+00:00,literalmente todas,literalment toda,"['literalment', 'toda']"
2023-03-06 08:23:33+00:00,sezon 7 galiba,sezon 7 galiba,"['sezon', '7', 'galiba']"
2023-03-06 08:16:43+00:00,La 6,la 6,"['la', '6']"
2023-03-06 08:13:41+00:00,L’enchaînement 4/5/6,lenchaîn 456,"['lenchaîn', '456']"
2023-03-06 08:13:15+00:00,4 and 6!,4 6,"['4', '6']"
2023-03-06 07:47:28+00:00,"4,3 is the best",43 best,"['43', 'best']"
2023-03-06 06:59:28+00:00,S7,s7,['s7']
2023-03-06 06:54:01+00:00,4 ❤️❤️❤️❤️❤️,4,['4']
2023-03-06 06:48:25+00:00,"Seasons 4 to 6 are perfection, but  I’d go with the season 6.",season 4 6 perfect id go season 6,"['season', '4', '6', 'perfect', 'id', 'go', 'season', '6']"
2023-03-06 06:36:28+00:00,"Season 7 
Goat 🔥 Dany ❤️",season 7 goat dani,"['season', '7', 'goat', 'dani']"
2023-03-06 06:34:31+00:00,Not the last one that’s for sure,last one that sure,"['last', 'one', 'that', 'sure']"
2023-03-06 06:15:32+00:00,1-4.,14,['14']
2023-03-06 06:12:01+00:00,1 2 3 4 5,1 2 3 4 5,"['1', '2', '3', '4', '5']"
2023-03-06 06:06:08+00:00,4/5/6 🔁,456,['456']
2023-03-06 06:03:43+00:00,Seasons 2 &amp; 3 imo.,season 2 amp 3 imo,"['season', '2', 'amp', '3', 'imo']"
2023-03-06 06:00:16+00:00,season 1 episode 1,season 1 episod 1,"['season', '1', 'episod', '1']"
2023-03-06 05:51:46+00:00,S04!!! daming nangyare sa season na yern grabe,s04 dame nangyar sa season na yern grabe,"['s04', 'dame', 'nangyar', 'sa', 'season', 'na', 'yern', 'grabe']"
2023-03-06 05:51:28+00:00,3,3,['3']
2023-03-06 05:45:06+00:00,3-5 peak,35 peak,"['35', 'peak']"
2023-03-06 05:38:26+00:00,I’ll say 1-3…,ill say 13,"['ill', 'say', '13']"
2023-03-06 05:28:02+00:00,6 just because battle of the bastards. No scene has ever put me on the edge of my seat like that before.. not to mention hold the door episode,6 battl bastard scene ever put edg seat like mention hold door episod,"['6', 'battl', 'bastard', 'scene', 'ever', 'put', 'edg', 'seat', 'like', 'mention', 'hold', 'door', 'episod']"
2023-03-06 05:22:28+00:00,I’m 2 episodes away from being done with season 6 and so far I would say season 4,im 2 episod away done season 6 far would say season 4,"['im', '2', 'episod', 'away', 'done', 'season', '6', 'far', 'would', 'say', 'season', '4']"
2023-03-06 05:17:03+00:00,If I can skip the many faced god clips the whole show,skip mani face god clip whole show,"['skip', 'mani', 'face', 'god', 'clip', 'whole', 'show']"
2023-03-06 05:08:44+00:00,5 or 6 easily.,5 6 easili,"['5', '6', 'easili']"
2023-03-06 05:08:37+00:00,"1–4 are all very rewatchable. 

After that, well…",14 rewatch well,"['14', 'rewatch', 'well']"
2023-03-06 05:07:46+00:00,Season 4 and  6,season 4 6,"['season', '4', '6']"
2023-03-06 05:05:30+00:00,Season 6. Shit was wild.,season 6 shit wild,"['season', '6', 'shit', 'wild']"
2023-03-06 04:52:23+00:00,season 4. It was just TOO good!,season 4 good,"['season', '4', 'good']"
2023-03-06 04:38:45+00:00,3 or 4 for me,3 4,"['3', '4']"
2023-03-06 04:36:58+00:00,"Obviamente a temporada do ataque do Mance à Muralha, até porquê o melhor episódio dessa trolha é The Watchers on the Wall",obviament temporada ataqu manc à muralha até porquê melhor episódio dessa trolha é watcher wall,"['obviament', 'temporada', 'ataqu', 'manc', 'à', 'muralha', 'até', 'porquê', 'melhor', 'episódio', 'dessa', 'trolha', 'é', 'watcher', 'wall']"
2023-03-06 04:26:24+00:00,5/6.. deadass any just not the final 2🥲,56 deadass final 2,"['56', 'deadass', 'final', '2']"
2023-03-06 04:21:20+00:00,Seasons 6 &amp; 7👌🏾,season 6 amp 7,"['season', '6', 'amp', '7']"
2023-03-06 04:19:52+00:00,A capa da última temporada sendo a mais linda e a pior temporada de todas https://t.co/Id7GOb2ygI,capa da última temporada sendo mai linda e pior temporada de toda httpstcoid7gob2ygi,"['capa', 'da', 'última', 'temporada', 'sendo', 'mai', 'linda', 'e', 'pior', 'temporada', 'de', 'toda', 'httpstcoid7gob2ygi']"
2023-03-06 04:13:23+00:00,Seasons 3 and 4 of Game of Thrones were the best!,season 3 4 game throne best,"['season', '3', '4', 'game', 'throne', 'best']"
2023-03-06 04:11:03+00:00,Season 3 and 4. Lahat best characters buhay pa ng period na yan hahaha.,season 3 4 lahat best charact buhay pa ng period na yan hahaha,"['season', '3', '4', 'lahat', 'best', 'charact', 'buhay', 'pa', 'ng', 'period', 'na', 'yan', 'hahaha']"
2023-03-06 04:08:39+00:00,All Seasons... But Season 6 🔥🔥🔥,season season 6,"['season', 'season', '6']"
2023-03-06 03:59:31+00:00,"Season 4, many moments and interactions between characters that could not be topped",season 4 mani moment interact charact could top,"['season', '4', 'mani', 'moment', 'interact', 'charact', 'could', 'top']"
2023-03-06 03:58:49+00:00,Any episodes with Margaery in it..,episod margaeri,"['episod', 'margaeri']"
2023-03-06 03:44:18+00:00,1 lah,1 lah,"['1', 'lah']"
2023-03-06 03:43:52+00:00,"A season 1 e 6 p mim são perfeitas, uma em narrativa e a outra nos acontecimentos/marco",season 1 e 6 p mim são perfeita uma em narrativa e outra no acontecimentosmarco,"['season', '1', 'e', '6', 'p', 'mim', 'são', 'perfeita', 'uma', 'em', 'narrativa', 'e', 'outra', 'no', 'acontecimentosmarco']"
2023-03-06 03:34:13+00:00,Season 4,season 4,"['season', '4']"
2023-03-06 03:25:23+00:00,s1 for me,s1,['s1']
2023-03-06 03:19:52+00:00,"Season 6 was pretty damn good , “battle of the bastards” my favorite episode",season 6 pretti damn good battl bastard favorit episod,"['season', '6', 'pretti', 'damn', 'good', 'battl', 'bastard', 'favorit', 'episod']"
2023-03-06 03:19:32+00:00,It's 3 for me.,3,['3']
2023-03-06 03:18:14+00:00,"season 4, without a second thought",season 4 without second thought,"['season', '4', 'without', 'second', 'thought']"
2023-03-06 03:17:29+00:00,4. It’s not even close,4 even close,"['4', 'even', 'close']"
2023-03-06 03:12:24+00:00,Yo diría la 3 o la 4.,yo diría la 3 la 4,"['yo', 'diría', 'la', '3', 'la', '4']"
2023-03-06 03:11:45+00:00,4 by far. It’s also my favorite,4 far also favorit,"['4', 'far', 'also', 'favorit']"
2023-03-06 03:02:47+00:00,1 or 4 anything else and ur wrong,1 4 anyth els ur wrong,"['1', '4', 'anyth', 'els', 'ur', 'wrong']"
2023-03-06 03:02:31+00:00,6 or 7🙌🏽🙌🏽,6 7,"['6', '7']"
2023-03-06 03:01:06+00:00,4 &amp; 6 SOLID RUN !!!!,4 amp 6 solid run,"['4', 'amp', '6', 'solid', 'run']"
2023-03-06 02:57:08+00:00,4 5 e 6 vcs tem o meu coração,4 5 e 6 vc tem meu coração,"['4', '5', 'e', '6', 'vc', 'tem', 'meu', 'coração']"
2023-03-06 02:49:53+00:00,"6,7,8",678,['678']
2023-03-06 02:46:37+00:00,👀👀,,[]
2023-03-06 02:46:21+00:00,A sétima,sétima,['sétima']
2023-03-06 02:42:25+00:00,4 y 6 🥹,4 6,"['4', '6']"
2023-03-06 02:40:41+00:00,All of ‘em,em,['em']
2023-03-06 02:12:00+00:00,S1-4 then jump to 8 season finale,s14 jump 8 season final,"['s14', 'jump', '8', 'season', 'final']"
2023-03-06 02:03:48+00:00,season six 🤓i just skip all of aryas faceless men arc and focus on battle of the bastards and the finale 😊,season six skip arya faceless men arc focu battl bastard final,"['season', 'six', 'skip', 'arya', 'faceless', 'men', 'arc', 'focu', 'battl', 'bastard', 'final']"
2023-03-06 01:57:32+00:00,"4 bc of oberyn, but any of the first 4 are acceptable here. I just watch the first 4 over and over again",4 bc oberyn first 4 accept watch first 4,"['4', 'bc', 'oberyn', 'first', '4', 'accept', 'watch', 'first', '4']"
